Table 5-1:  Emissions from Agriculture (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,CO2,7.1,7.3,6.9,6.4,6.8,7,7,7,7.7,7.5,7.5,7.8,8.5,8.3,7.6,7.9,7.9,8.2,8.6,7.2,8.6,8,10.3,8.4,8.1,8.5,8.1,8.2
,Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.9,5.1
,Liming,4.7,5,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5,4.6,3.9,4.3,4.2,4.5,5,3.7,4.8,3.9,6,3.9,3.6,3.7,3.2,3.2
,CH4,217.4,220.2,223.6,227.8,231.6,237.8,236,234.3,236.5,239,237.8,236,238.3,237,232,239.5,238.7,247.2,243.1,244,245.7,242.2,238.9,235.3,234.9,239.9,247.3,248.7
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170,166.8,168.9,171.6,174.5,173.8,173,171.3,168.9,166.7,165.5,164.2,166.5,171.9,175.4
,Manure Management,37.1,38.9,37.5,39.2,42,43.3,42.4,44.3,48.1,48.4,48.9,50.8,51.9,52.4,50.8,53.7,54.1,58.7,57.5,56.4,58.2,59,60.6,58.1,57.8,60.9,61.5,61.7
,Rice Cultivation,16,16.8,16.9,16.9,14.8,15.8,16,15.8,16.1,18.1,18.3,15.6,16.5,14.3,14.1,16.7,12.9,13.9,11.5,14.5,15.9,14.1,11.3,11.5,12.7,12.3,13.7,11.3
,Field Burning of Agricultural Residues,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,N2O,265.7,263.1,264.2,273.1,261.1,267.6,272.1,268.3,287.8,265.5,264.5,272.3,270.5,274.9,297.8,271.1,281,289.1,283.4,287.9,292.4,281.7,265.5,282.7,279.7,295.4,285.8,285.2
,Agricultural Soil Management,251.7,248.9,249.9,259,246.3,252.4,257,253,272.3,249.4,248,255.9,253.7,258,281.6,254.5,263.7,271.7,266.2,270.8,275.2,264.4,248,265.2,262.3,277.8,267.6,266.4
,Manure Management,14,14.2,14.2,14,14.8,15.1,15.1,15.2,15.5,16,16.4,16.3,16.7,16.8,16.2,16.5,17.2,17.3,17.1,17,17.1,17.3,17.4,17.4,17.4,17.6,18.2,18.7
,Field Burning of Agricultural Residues,+ ,+ ,+ ,+ ,+ ,+ ,0.1,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Total,490.2,490.6,494.7,507.4,499.5,512.4,515.1,509.6,532.1,511.9,509.9,516.2,517.4,520.1,537.3,518.4,527.6,544.6,535.1,539.1,546.6,531.9,514.7,526.3,522.8,543.8,541.2,542.1
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
