Table 7-13:  Variables Used to Calculate Percent Wastewater Treated Anaerobically by Industry (Percent),,,,,,,,,,
,,,,,,,,,,
,Variable,Industry,,,,,,,,
,,Pulp and Paper,Meat Processing,Poultry Processing,Fruit/ Vegetable Processing,Ethanol Production – Wet Mill,Ethanol Production – Dry Mill,Petroleum Refining,Breweries – Craft,Breweries – Non-Craft
,%TAp,0,0,0,0,0,0,0,0,0
,%TAs,0,33,25,4.2,33.3,75,23.6,0,0
,%TAa,2.2,0,0,0,0,0,0,0,0
,"%TAa,t",11.8,0,0,0,0,0,0,0,0
,%Plantso,0,100,100,11,100,100,100,100,1
,%Plantsa,5,33,25,5.5,33.3,75,23.6,0,0
,"%Plantsa,t",28,0,0,0,0,0,0,0,0
,%Plantst,35,67,75,5.5,66.7,25,0,0,0
,"%WWa,p",0,0,0,0,0,0,0,0,0
,"%WWa,s",100,100,100,100,100,100,100,0,0
,"%WWa,t",0,0,0,0,0,0,0,0,0
,%CODp,100,100,100,100,100,100,100,0,0
,%CODs,42,100,100,77,100,100,100,0,0
,"Note: Due to differences in data availability and methodology, zero values in the table are for calculation purposes only and may indicate unavailable data.",,,,,,,,,
,Sources: ERG (2008); ERG (2013a); and ERG (2013b).,,,,,,,,,
