Mean daily global radiation (Mj/sq m),,,,,,,,,,,,,
Data are mean monthly values for the 1981-2010 period for locations having at least 5 complete years of data,,,,,,,,,,,,,
Station details are available in separate table,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
------------------------------,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------
Kaitaia,21.7,19.4,16.4,11.6,8.5,7.0,7.7,10.1,13.5,16.9,19.9,22.1,14.6
Whangarei ,21.4,18.2,15.5,11.1,8.2,7.0,7.4,10.1,13.6,17.0,19.6,20.4,14.0
Auckland ,22.7,19.5,15.9,11.5,8.1,6.5,7.2,9.9,13.7,17.4,20.7,22.2,14.6
Tauranga ,23.4,20.0,16.5,11.8,8.3,6.8,7.1,9.9,13.7,17.6,20.9,22.3,14.7
Hamilton,22.1,19.2,15.8,11.3,7.8,6.3,7.0,9.4,13.0,16.6,20.2,21.6,14.2
Rotorua ,22.5,19.5,15.9,11.5,8.0,6.4,7.0,9.3,12.9,16.8,20.2,21.5,14.3
Gisborne ,23.4,19.3,15.5,11.1,7.7,6.3,6.6,9.8,14.2,18.6,21.7,23.3,14.8
New Plymouth,23.9,21.1,16.8,11.5,7.8,6.1,7.0,9.7,13.2,17.2,21.5,22.2,14.8
Napier ,22.9,19.4,15.8,11.2,7.9,6.4,6.8,9.9,14.0,18.5,21.7,22.8,14.8
Wanganui,23.7,20.4,16.1,10.9,7.3,5.7,6.5,9.1,12.9,17.0,21.3,22.6,14.5
Palmerston North,22.1,19.6,15.2,10.5,7.0,5.3,6.1,8.6,12.1,15.6,19.6,20.9,13.6
Masterton,22.4,18.8,15.1,10.0,7.0,5.4,5.8,8.7,12.8,16.9,21.0,22.1,13.9
Wellington,23.3,20.0,15.2,10.3,6.4,4.7,5.6,8.5,12.5,16.6,20.0,22.1,13.7
Nelson ,23.4,20.4,16.1,11.5,7.7,5.7,6.4,9.0,13.3,16.9,20.9,22.7,14.5
Blenheim ,23.7,20.1,17.0,11.5,7.8,5.8,6.6,9.8,13.7,18.7,22.1,23.2,14.9
Westport ,21.7,19.2,14.8,9.6,6.4,4.7,5.8,8.2,11.6,15.6,20.0,20.4,13.3
Kaikoura,21.4,18.3,14.9,10.1,6.8,5.3,6.0,8.9,12.8,17.5,21.4,22.1,13.8
Hokitika ,21.2,18.4,14.3,9.6,6.1,4.7,5.6,8.0,11.6,15.5,19.4,20.4,12.9
Christchurch ,21.6,18.2,14.1,9.6,6.0,4.6,5.3,7.9,12.1,16.7,20.8,21.6,13.2
Mt Cook,22.2,19.8,14.7,10.1,5.6,4.2,5.2,7.8,11.2,16.6,21.6,21.4,13.3
Lake Tekapo ,23.9,20.7,15.7,10.7,6.6,5.5,6.0,8.7,13.3,18.6,23.5,23.6,14.8
Timaru ,20.3,17.0,13.7,9.7,6.0,5.1,5.8,8.3,12.4,16.6,19.7,20.6,12.9
Queenstown ,23.5,20.8,15.6,10.3,6.1,4.8,5.8,8.5,12.9,18.3,22.0,24.0,14.4
Clyde,22.8,20.3,15.3,9.8,5.7,4.4,4.9,8.1,12.9,17.7,22.2,23.6,14.0
Manapouri ,21.6,18.7,13.6,8.8,5.1,3.7,4.4,7.2,11.3,16.5,20.6,22.2,12.9
Dunedin,19.1,17.0,12.4,8.2,4.8,3.7,4.4,6.6,10.7,15.3,18.3,19.4,11.7
Invercargill ,19.9,17.1,12.3,7.9,4.5,3.5,4.2,6.9,11.0,15.4,19.6,21.3,11.9
Chatham Islands,20.1,17.3,12.9,8.4,5.3,4.0,4.8,7.3,11.1,15.0,19.1,20.7,12.2
"Antarctica, Scott Base",25.0,13.6,4.4,0.4,0.0,0.0,0.0,0.1,2.4,10.7,22.9,28.8,9.0
